City,Zip Code,Population ,Precipation,Temperature ,Air Quality,Population per square mile,Land type,Latitute,Longtitude 
North Hills,91343,"60,254",23,64,52,"11,000",Urban,34.2366,-118.4758
North Hollywood,91605,"103,689",23,64,53,"14,300",Urban,34.2057,-118.4001
Northridge,91325,"33,934",23,64,54,"6,800",Suburban,34.2353,-118.5188
Norwalk,90650,"105,549",22,64,56,"10,500",Suburban,33.9056,-118.0818
Pacific Palisades,90272,"25,507",23.5,62,34,898,Suburban,34.0481,-118.5265
Pacoima,91331,"103,689",23,64,58,"13,000",Urban,34.2556,-118.4208
Palmdale,93550,"74,595",11.1,60,45,"1,600",Suburban,34.4133,-118.0917
Palos Verdes Peninsula,90274,"26,195",23.5,62,33,"2,500",Suburban,33.7669,-118.3806
Panorama City,91402,"69,817",23,64,54,"17,000",Urban,34.2262,-118.447
Paramount,90723,"54,098",22,64,59,"15,800",Urban,33.8969,-118.1632
Pasadena,91104,"37,339",25.2,64,57,"6,400",Urban,34.1678,-118.1261
Pico Rivera,90660,"63,522",23,65,60,"12,000",Urban,33.9886,-118.0883
Playa del Rey,90293,"12,129",21.5,63.5,35,"5,000",Suburban,33.9577,-118.4373
Pomona,91766,"75,540",23.5,63,55,"7,200",Suburban,34.0418,-117.7569
Porter Ranch,91326,"30,571",23,61.5,50,"2,500",Suburban,34.2619,-118.582
Rancho Palos Verdes,90275,"41,643",23.5,64,33,"3,600",Suburban,33.7515,-118.367
Redondo Beach,90277,"35,065",21.5,63,35,"11,000",Suburban,33.8307,-118.3832
Reseda,91335,"74,363",23,64.5,54,"14,500",Urban,34.2007,-118.5391
Rosemead,91770,"54,615",23,64,57,"12,000",Urban,34.0658,-118.0853
San Fernando,91340,"24,645",23,64.5,53,"10,500",Urban,34.2875,-118.4352
San Gabriel,91776,"39,718",23,64,55,"10,000",Urban,34.089,-118.0955
San Marino,91108,"13,327",23,64,50,"3,200",Suburban,34.1207,-118.1117
San Pedro,90731,"59,662",23.5,63.5,36,"8,000",Urban,33.7339,-118.2914
Santa Clarita,91350,"51,935",23,63.5,48,"3,300",Suburban,34.4336,-118.5007
Santa Fe Springs,90670,"16,223",22,64,57,"2,300",Suburban,33.9464,-118.0838
Santa Monica,90405,"27,310",21.5,63,34,"10,000",Urban,34.01,-118.4717
Sherman Oaks,91423,"33,334",23,64.5,54,"10,000",Urban,34.1526,-118.4322
Sierra Madre,91024,"10,917",24.5,63,50,"4,500",Suburban,34.1651,-118.0519
Signal Hill,90755,"11,016",22,63.5,56,"3,400",Suburban,33.8029,-118.1677
South Gate,90280,"94,396",23,64.5,58,"13,000",Urban,33.9462,-118.2013
South Pasadena,91030,"25,616",23,64,54,"7,800",Urban,34.1109,-118.1547
Stevenson Ranch,91381,"17,557",23,63.5,48,"1,600",Suburban,34.3775,-118.6131
Studio City,91604,"38,331",23,64.5,53,"6,500",Urban,34.143,-118.3913
Sun Valley,91352,"81,788",23,64,54,"8,000",Urban,34.2209,-118.3699
Sunland,91040,"18,369",23,64,54,"3,000",Suburban,34.2618,-118.3371
Sylmar,91342,"91,725",23,64,54,"4,500",Suburban,34.3054,-118.4322
Tarzana,91356,"29,458",19.6,64,53,"5,500",Suburban,34.1671,-118.5414
Temple City,91780,"35,558",22.5,64,55,"8,500",Suburban,34.1016,-118.0537
Toluca Lake,91602,"19,744",23,64,54,"5,000",Urban,34.151,-118.3663
Topanga,90290,"8,289",23.5,62,34,"1,100",Rural,34.1076,-118.6023
Torrance,90501,"44,164",22.5,64,55,"7,000",Suburban,33.8268,-118.3118
Tujunga,91042,"26,738",24,64,54,"3,500",Suburban,34.2544,-118.2849
Universal City,91608,"1,436",23,64,54,"6,500",Urban,34.1383,-118.3528
Valencia,91355,"32,605",21,63.5,48,"3,000",Suburban,34.3985,-118.5535
Valley Village,91607,"27,927",23,64,53,"10,500",Urban,34.1672,-118.3989
Van Nuys,91406,"51,535",19.6,64,54,"15,000",Urban,34.2006,-118.4868
Venice,90291,"31,784",21,63,35,"12,000",Urban,33.9938,-118.4635
Verdugo City,91046,19,23,64,53,"5,000",Suburban,34.2114,-118.2395
Walnut,91789,"42,150",22.8,63.5,55,"4,800",Suburban,34.0183,-117.8546
West Covina,91790,"46,805",22.8,63.5,54,"6,700",Suburban,34.0673,-117.9366
West Hills,91307,"24,328",23,64,53,"3,400",Suburban,34.1963,-118.6389
West Hollywood,90069,"20,435",23,64,54,"18,000",Urban,34.0906,-118.3788
Whittier,90604,"42,063",22.8,64,55,"7,000",Suburban,33.9299,-118.0121
Wilmington,90744,"57,206",22.5,64,56,"6,500",Urban,33.7855,-118.2645
Winnetka,91306,"49,158",23,64,54,"12,000",Suburban,34.2092,-118.5749
Woodland Hills,91367,"45,282",19.6,64,53,"3,600",Suburban,34.1767,-118.6159
